"NAME";"Kod";"global_id";"KC";
"Средний персонал культуры и кулинарного искусства";"343";"62855046";"9";
"Фотографы (художественные)";"3431";"62855047";"2";
"Художники-декораторы и оформители";"3432";"62855048";"6";
"Средний специальный персонал художественных галерей, музеев и библиотек";"3433";"62855049";"3";
"Шеф-повара";"3434";"62855050";"3";
"Средний персонал культуры и кулинарного искусства, не входящий в другие группы";"3439";"62855051";"1";
"Специалисты-техники в области информационно-коммуникационных технологий (ИКТ)";"35";"62855052";"2";
"Специалисты-техники по эксплуатации ИКТ и по поддержке пользователей ИКТ";"351";"62855053";"5";
"Специалисты-техники по эксплуатации ИКТ";"3511";"62855054";"9";
"Специалисты-техники по поддержке пользователей ИКТ";"3512";"62855055";"2";
"Специалисты-техники по компьютерным сетям и системам";"3513";"62855056";"6";
"Специалисты-техники по Web";"3514";"62855057";"3";
"Специалисты-техники по телекоммуникациям и радиовещанию";"352";"62855058";"8";
"Специалисты-техники по радио- и телевещанию";"3521";"62855059";"1";
"Специалисты-техники по телекоммуникационному оборудованию";"3522";"62855060";"5";
"СЛУЖАЩИЕ, ЗАНЯТЫЕ ПОДГОТОВКОЙ И ОФОРМЛЕНИЕМ ДОКУМЕНТАЦИИ, УЧЕТОМ И ОБСЛУЖИВАНИЕМ";"4";"62855061";"";
"Служащие общего профиля и обслуживающие офисную технику";"41";"62855062";"6";
"Офисные служащие общего профиля";"411";"62855063";"9";
"Офисные служащие общего профиля";"4110";"62855064";"9";
"Секретари (общего профиля)";"412";"62855065";"1";
"Секретари (общего профиля)";"4120";"62855066";"1";
"Операторы клавишных машин";"413";"62855067";"4";
"Машинистки и операторы оборудования по редактированию текстов";"4131";"62855068";"8";
"Служащие по введению данных";"4132";"62855069";"1";
"Служащие сферы обслуживания населения";"42";"62855070";"8";
"Кассиры и работники других родственных занятий";"421";"62855071";"0";
"Кассиры банков и работники других родственных занятий";"4211";"62855072";"4";
"Букмекеры, крупье и работники родственных занятий в сфере азартных игр";"4212";"62855073";"8";
"Агенты по залогу вещей и выдаче денежных сумм в долг";"4213";"62855074";"1";
"Служащие коллекторских фирм и работники родственных занятий по сбору задолженностей и платежей";"4214";"62855075";"5";
"Служащие по информированию клиентов";"422";"62855076";"3";
"Служащие бюро путешествий";"4221";"62855077";"7";
"Служащие контактных информационных центров";"4222";"62855078";"0";
"Телефонисты";"4223";"62855079";"4";
"Служащие, встречающие и регистрирующие клиентов в отелях (гостиницах)";"4224";"62855080";"8";
"Служащие по проведению опросов потребителей";"4225";"62855081";"1";
"Служащие в приемной (общего профиля)";"4226";"62855082";"5";
"Служащие по проведению социологических опросов и изучению конъюнктуры рынка";"4227";"62855083";"9";
"Служащие по информированию клиентов, не входящие в другие группы";"4229";"62855084";"6";
"Служащие в сфере обработки числовой информации и учета материальных ценностей";"43";"62855085";"2";
"Служащие, обрабатывающие числовую информацию";"431";"62855086";"2";
"Служащие по бухгалтерским операциям и учету";"4311";"62855087";"6";
"Служащие по обработке статистической, финансовой и страховой информации и ведению расчетов";"4312";"62855088";"8";
"Служащие по учету рабочего времени и расчету заработной платы";"4313";"62855089";"3";
"Служащие, занятые учетом материалов и транспортных перевозок";"432";"62855090";"5";
"Служащие, занятые учетом, приемом и выдачей товаров на складе";"4321";"62855091";"9";
"Служащие, занятые диспетчерской подготовкой производства";"4322";"62855092";"2";
"Служащие по транспортным перевозкам";"4323";"62855093";"6";
"Другие офисные служащие";"44";"62855094";"1";
"Другие офисные служащие";"441";"62855095";"4";
"Служащие библиотек";"4411";"62855096";"8";
"Разносчики и сортировщики почты";"4412";"62855097";"1";
"Кодировщики, корректоры и другие родственные служащие";"4413";"62855098";"5";
"Регистраторы и копировщики";"4415";"62855099";"2";
"Служащие по ведению кадровой документации";"4416";"62855100";"6";
"Офисные служащие, не входящие в другие группы";"4419";"62855101";"7";
"РАБОТНИКИ СФЕРЫ ОБСЛУЖИВАНИЯ И ТОРГОВЛИ, ОХРАНЫ ГРАЖДАН И СОБСТВЕННОСТИ";"5";"62855102";"";
"Работники сферы индивидуальных услуг";"51";"62855103";"7";
"Обслуживающий персонал в путешествиях, на общественном транспорте и гиды";"511";"62855104";"2";
"Проводники железнодорожного вагона, бортпроводники, стюарды";"5111";"62855105";"3";
"Кондукторы общественного транспорта";"5112";"62855106";"7";
"Гиды";"5113";"62855107";"0";
"Повара";"512";"62855108";"2";
"Повара";"5120";"62855109";"2";
"Официанты и буфетчики";"513";"62855110";"5";
"Официанты";"5131";"62855111";"9";
"Буфетчики (бармены)";"5132";"62855112";"2";
"Парикмахеры, косметологи и работники родственных занятий";"514";"62855113";"8";
"Парикмахеры";"5141";"62855114";"1";
"Косметологи и работники родственных занятий";"5142";"62855115";"5";
"Персонал хозяйственного и коммунального обслуживания";"515";"62855116";"0";
"Бригадиры уборщиков и помощники по хозяйству в отелях (гостиницах), офисах и других учреждениях";"5151";"62855117";"4";
"Экономки";"5152";"62855118";"8";
"Смотрители зданий и персонал родственных занятий";"5153";"62855119";"1";
"Другие работники, оказывающие индивидуальные услуги";"516";"62855120";"3";
"Компаньоны и камердинеры";"5162";"62855121";"0";
"Работники ритуальных услуг";"5163";"62855122";"4";
"Грумеры и другие работники, ухаживающие за животными";"5164";"62855123";"8";
"Инструкторы по вождению";"5165";"62855124";"1";
"Работники, оказывающие индивидуальные услуги, не входящие в другие группы";"5169";"62855125";"6";
"Продавцы";"52";"62855126";"9";
"Уличные торговцы и продавцы на рынках";"521";"62855127";"1";
"Продавцы палаток и рынков";"5211";"62855128";"5";
"Уличные торговцы продовольственными товарами";"5212";"62855129";"9";
"Продавцы магазинов";"522";"62855130";"4";
"Продавцы в киосках и ларьках";"5221";"62855131";"8";
"Бригадиры в магазинах";"5222";"62855132";"1";
"Продавцы и помощники продавцов магазинов";"5223";"62855133";"5";
"Кассиры, включая кассиров билетных касс";"523";"62855134";"7";
"Кассиры, включая кассиров билетных касс";"5230";"62855135";"7";
"Прочие работники сферы торговли";"524";"62855136";"0";
"Манекенщики и другие живые модели";"5241";"62855137";"3";
"Демонстраторы товаров";"5242";"62855138";"7";
"Торговцы, предлагающие покупателям товары по месту жительства";"5243";"62855139";"0";
"Продавцы контактных центров";"5244";"62855140";"4";
"Служащие на станциях обслуживания";"5245";"62855141";"8";
"Работники прилавка, обслуживающие посетителей мест общественного питания";"5246";"62855142";"1";
"Работники сферы торговли, не входящие в другие группы";"5249";"62855143";"2";
"Работники, оказывающие услуги по индивидуальному уходу";"53";"62855144";"0";
"Работники по уходу за детьми и помощники учителей";"531";"62855145";"3";
"Работники по уходу за детьми";"5311";"62855146";"7";
"Помощники учителей";"5312";"62855147";"0";
"Работники, оказывающие индивидуальные услуги по уходу за больными";"532";"62855148";"6";
"Помощники по уходу за больными";"5321";"62855149";"0";
"Работники, оказывающие индивидуальные услуги по уходу за больными на дому";"5322";"62855150";"3";
"Работники, оказывающие индивидуальные услуги по уходу за больными, не входящие в другие группы";"5329";"62855151";"9";
"Работники служб, осуществляющих охрану граждан и собственности";"54";"62855152";"2";
"Работники служб, осуществляющих охрану граждан и собственности";"541";"62855153";"5";
"Пожарные";"5411";"62855154";"9";
"Полицейские";"5412";"62855155";"2";
"Тюремные охранники";"5413";"62855156";"6";
"Охранники";"5414";"62855157";"5";
"Работники служб, осуществляющих охрану граждан и собственности, не входящие в другие группы";"5419";"62855158";"8";
"КВАЛИФИЦИРОВАННЫЕ РАБОТНИКИ СЕЛЬСКОГО И ЛЕСНОГО ХОЗЯЙСТВА, РЫБОВОДСТВА И РЫБОЛОВСТВА";"6";"62855159";"";
